LocID,LocName,Latitude,Longitude
123193,Oak Avenue Parking Lot,40.949697,-73.828941
123187,Vera's Marketplace,41.45465,-73.91998
123130,Smithtown West High School,40.862759,-73.240971
123122,Volvo Car USA Corporate Headquarters,41.074962,-74.171142
123063,Morris Building - North,40.870803,-74.447891
123009,Mercedes-Benz of North Haven,41.419742,-72.83864
123008,The Eldred Preserve,41.57033,-74.87094
122999,25 Maple Apartments,40.90581,-73.785031
122965,Veris Residential,40.719128,-74.033226
122904,St Tropez Garage,40.763,-73.9602
122857,Wawayanda State Park,41.190266,-74.42915
122691,Long Pond Preserve and Hauser Nature Center,41.0624888,-75.4845879
122668,Miller Motorcars Alfa Romeo & Maserati,41.020299,-73.642206
122650,Half Hollow Hills Community Library,40.804055,-73.36006
122564,Modera Parsippany,40.8641305,-74.4075495
122561,Courtyard Montvale,41.0544857,-74.0695756
122556,Fred's Shanty Restaurant,41.333828,-72.097084
122544,Weis Markets,41.064957,-74.746895
122500,Larry Doby Brookdale North Service Plaza,40.83931,-74.17929
122489,Vince Lombardi Service Plaza,40.822714,-74.031079
122438,"Brewster, NY Supercharger",41.39169,-73.595175
122372,North Merrick Public Library,40.676416,-73.56814
122334,Blue One Clothing Store,40.935521477609846,-72.3042930013275
122241,Citgo,41.385431,-73.28436
122226,Essex County Mosquito Control,40.847523,-74.23412
122158,"New Haven, CT Supercharger",41.297348,-72.917804
122123,Preakness Valley Golf Course,40.919674,-74.22996
122115,16 Squadron Boulevard,41.158199,-73.984596
121895,Courtyard by Marriott West Orange NJ,40.794971,-74.253814
121857,ESPN Headquarters,41.649811,-72.900439
121854,Brown's Service,40.78451,-73.007675
121848,200 White Plains Road,41.06381,-73.852131
121845,Brown's Dodge,40.804511,-73.004644
121843,Brown's Service,40.784141,-73.008171
121797,Claridge House II,40.8339858,-74.2217386
121775,5000 Murray Court,41.0459,-74.004035
121742,Al Mac Motors II,41.285944,-72.816758
121691,76 Stoneleigh Plaza,40.94335,-73.836205
121535,The Rockaway Hotel,40.581587,-73.830086
121517,ShopRite Brookdale,40.837132,-74.183843
121414,"Connecticut Department of Transportation - Newington, CT",41.67188,-72.71455
121401,Riverhead Toyota,40.924091,-72.6983
121313,2 Marshall Lane,40.857033,-74.09371
121311,1 Passaic Avenue,40.859528,-74.092476
