id,lat,lng,postal_code,street_name,city,is_always_open,is_free,CEE_RED_connector_count,CHADEMO_connector_count,COMBO_TYPE_2_connector_count,DOMESTIC_TYPE_F_connector_count,MENNEKES_TYPE_2_connector_count,MENNEKES_TYPE_2_CABLE_ATTACHED_connector_count,TESLA_COMBO_CCS_connector_count,TESLA_SUPERCHARGER_EU_connector_count,CEE_RED_power_max,CHADEMO_power_max,COMBO_TYPE_2_power_max,DOMESTIC_TYPE_F_power_max,MENNEKES_TYPE_2_power_max,MENNEKES_TYPE_2_CABLE_ATTACHED_power_max,TESLA_COMBO_CCS_power_max,TESLA_SUPERCHARGER_EU_power_max
394510,56.133067,10.010927,8462,Harlev Kirkevej,Harlev,True,False,,,,,2,,,,,,,,22.0,,,
394515,56.195989,10.205407,8240,Dagmar Hansens Gade,Risskov,True,False,,,,,4,,,,,,,,22.0,,,
394516,56.21152,10.2701,8250,Mejlbyvej,Egå,True,False,,,,,4,,,,,,,,22.0,,,
394521,56.04623,10.19133,8340,Veilgårdsparken,Malling,True,False,,,,,2,,,,,,,,22.0,,,
394524,55.976761,10.159208,8300,Østervænget,Odder,True,False,,,,,2,,,,,,,,22.0,,,
394526,56.091545,10.134809,8310,Kirketorvet,Tranbjerg J,True,False,,,,,2,,,,,,,,22.0,,,
394530,56.0219,10.26153,8300,Gammel Krovej,Odder,True,False,,,,,4,,,,,,,,22.0,,,
394532,55.92158,10.25422,8300,Villavej,Odder,True,False,,,,,2,,,,,,,,22.0,,,
394533,56.072316,10.170136,8320,Visbjerg Hegn,Mårslet,True,False,,,,,2,,,,,,,,22.0,,,
394536,56.18234,10.16477,8210,Rydevænget,Aarhus V,True,False,,,,,4,,,,,,,,22.0,,,
394537,56.073956,10.157337,8320,Hørretløkken,Mårslet,True,False,,,,,2,,,,,,,,22.0,,,
394539,56.103336,10.208562,8270,Moesgårdvej,Højbjerg,True,False,,,,,1,,,,,,,,22.0,,,
394540,55.98219,10.14872,8300,Stampmøllevej,Odder,True,False,,,,,2,,,,,,,,22.0,,,
394550,56.232373,10.205329,8520,Rødbedevej,Lystrup,True,False,,,,,3,,,,,,,,22.0,,,
394551,56.126118,10.15712,8260,Skanderborgvej,Viby,True,False,,,,,4,,,,,,,,22.0,,,
394552,56.12589,10.17762,8260,Terp Skovvej,Viby J,True,False,,,,,4,,,,,,,,22.0,,,
394567,56.058915,10.200989,8330,Damgårds Alle,Beder,True,False,,,,,2,,,,,,,,22.0,,,
394570,56.15227,10.10357,8220,Engdalsvej,Brabrand,True,False,,,,,2,,,,,,,,22.0,,,
394581,56.232005,10.289834,8250,Skippertoften,Egå,True,False,,,,,5,,,,,,,,22.0,,,
394585,56.036457,10.199411,8340,Stenhøjgårdsvej,Malling,True,False,,,,,2,,,,,,,,22.0,,,
394617,56.149108,10.169218,8230,Sigynsgade,Viby,True,False,,,,,2,,,,,,,,22.0,,,
394621,56.185704,10.088037,8381,True Møllevej,Tilst,True,False,,,,,4,,,,,,,,22.0,,,
394636,56.188909,10.186297,8200,Olof Palmes Alle,Aarhus N,True,False,,,,,2,,,,,,,,22.0,,,
394637,56.105373,10.218379,8240,Sandbakken,Højbjerg,True,False,,,,,6,,,,,,,,22.0,,,
394638,56.103616,10.221366,8270,Lerdalen,Højbjerg,True,False,,,,,6,,,,,,,,22.0,,,
394646,56.129307,10.153977,8260,Viemosevej,Viby J,True,False,,,,,4,,,,,,,,22.0,,,
394652,56.226794,10.244324,8520,Mølbakvej,Lystrup,False,False,,,,,4,,,,,,,,22.0,,,
394667,56.097051,10.218747,8270,Skåde Skovvej,Højbjerg,True,False,,,,,4,,,,,,,,22.0,,,
394682,56.177589,10.169303,8210,Trillegårdsvej,Aarhus V,True,False,,,,,4,,,,,,,,22.0,,,
394683,56.082382,10.008616,8362,Jeksen Dalvej,Hørning,True,False,,,,,1,,,,,,,,22.0,,,
394684,56.105767,10.170914,8270,Sadelmagertoften,Højbjerg,True,False,,,,,2,,,,,,,,22.0,,,
394688,56.092612,10.034691,8362,Toftevej,Hørning,True,False,,,,,1,,,,,,,,22.0,,,
394691,56.12812,10.101339,8260,Salamanderparken,Viby J,True,False,,,,,2,,,,,,,,22.0,,,
394692,56.126748,10.104015,8260,Salamanderparken,Viby J,True,False,,,,,2,,,,,,,,22.0,,,
394693,56.186946,10.190725,8200,Olof Palmes Allé,Aarhus,True,False,,,,,4,,,,,,,,22.0,,,
394694,56.053199,10.211192,8330,Byagervej,Beder,True,False,,,,,6,,,,,,,,22.0,,,
394695,56.059292,10.217971,8330,Kirkebakken,Beder,True,False,,,,,2,,,,,,,,22.0,,,
394696,56.194158,10.198897,8240,Næringen,Risskov,True,False,,,,,4,,,,,,,,22.0,,,
394697,56.191578,10.202704,8240,Nyringen,Risskov,True,False,,,,,4,,,,,,,,22.0,,,
394698,56.110341,10.080651,8361,Bavnebakken,Hasselager,True,False,,,,,4,,,,,,,,22.0,,,
394699,56.123764,10.14712,8260,Vårkjærvej,Viby J,True,False,,,,,6,,,,,,,,22.0,,,
394700,56.054801,10.208631,8330,Byagervej,Beder,True,False,,,,,4,,,,,,,,22.0,,,
394701,56.04195,10.20746,8340,Mallinggårdsvej,Malling,True,False,,,,,2,,,,,,,,22.0,,,
394702,56.040141,10.087452,8355,Kærgårdsparken,Solbjerg,True,False,,,,,2,,,,,,,,22.0,,,
394706,56.105473,10.167334,8270,Pottemagertoften,Højbjerg,True,False,,,,,3,,,,,,,,22.0,,,
394707,56.104035,10.169474,8260,Pottemagertoften,Viby J,True,False,,,,,2,,,,,,,,22.0,,,
394708,56.109357,10.170861,8270,Kalkærparken,Højbjerg,True,False,,,,,2,,,,,,,,22.0,,,
394709,56.126366,10.117822,8260,Stavtrupvej,Viby J,True,False,,,,,4,,,,,,,,22.0,,,
