Name,Duration From,Duration To,Observation 1 City,Observation 1 Street,Observation 1 Postal Code,Observation 1 Coordinates,Observation 2 City,Observation 2 Street,Observation 2 Postal Code,Observation 2 Coordinates,Distance(meters),Duration(seconds),NDT,Road Type
trafficData184621.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Skanderborgvej 168,8260,"56.131053962866226, 10.166163050262412",Aarhus,Skanderborgvej 222,8260,"56.125829583613914, 10.157709017196566",789,78,36,MAJOR_ROAD
trafficData184649.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Skanderborgvej 169,8260,"56.13096577062022, 10.166318618385276",Aarhus,Skanderborgvej 107,8260,"56.138322977998705, 10.179336344162948",1151,93,45,MAJOR_ROAD
trafficData184675.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Skanderborgvej 106,8260,"56.13844851575673, 10.179150601188667",Aarhus,Skanderborgvej 168,8260,"56.131053962866226, 10.166163050262412",1152,89,47,MAJOR_ROAD
trafficData184703.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Skanderborgvej 107,8260,"56.138322977998705, 10.179336344162948",Aarhus,Skanderborgvej 7,8000,"56.14251885276732, 10.186880262565637",661,60,40,MAJOR_ROAD
trafficData184729.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Skanderborgvej 26,8000,"56.14258759218248, 10.186756880950952",Aarhus,Skanderborgvej 106,8260,"56.13844851575673, 10.179150601188667",660,55,43,MAJOR_ROAD
trafficData184758.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Søren Frichs Vej 80,8230,"56.14774074192765, 10.158060728836062",Århus C,Søren Frichs Vej 39,8000,"56.151949698562795, 10.17614185152047",1222,108,41,MAJOR_ROAD
trafficData184784.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Århus C,Søren Frichs Vej 39,8000,"56.151949698562795, 10.17614185152047",Aarhus,Søren Frichs Vej 80,8230,"56.14774074192765, 10.158060728836062",1222,113,39,MAJOR_ROAD
trafficData184813.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Paludan-Müllers Vej 48,8200,"56.17389164456407, 10.182183959489976",Aarhus,Paludan-Müllers Vej 95,8210,"56.170278565367, 10.186652602364234",491,51,35,MAJOR_ROAD
trafficData184839.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Paludan-Müllers Vej 95,8210,"56.170278565367, 10.186652602364234",Aarhus,Paludan-Müllers Vej 48,8200,"56.17389164456407, 10.182183959489976",490,57,31,MAJOR_ROAD
trafficData184866.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Risskov,Grenåvej 0,8240,"56.19371107014121, 10.218878251485876",Risskov,Vejlby Ringvej 0,8240,"56.187071255964284, 10.212341355819717",942,77,44,MAJOR_ROAD
trafficData184892.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Risskov,Vejlby Ringvej 0,8240,"56.18696229571611, 10.212459373016372",Risskov,Grenåvej 0,8240,"56.19369241581476, 10.21908612268453",966,85,41,MAJOR_ROAD
trafficData184919.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Risskov,Grenåvej 126,8240,"56.186546268439095, 10.218303812914883",Risskov,Vejlby Ringvej 126,8240,"56.187071255964284, 10.212341355819717",728,65,40,MAJOR_ROAD
trafficData184945.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Risskov,Vejlby Ringvej 0,8240,"56.18696229571611, 10.212459373016372",Risskov,Grenåvej 125,8240,"56.18655111946821, 10.218124775463139",656,55,43,MAJOR_ROAD
trafficData184972.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Vejlby Ringvej 20,8200,"56.1833360361296, 10.200700790178303",Aarhus,Randersvej 20,8200,"56.184659561973874, 10.19604842460626",458,51,32,MAJOR_ROAD
trafficData184998.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Århus N,Randersvej 141,8200,"56.18461478101305, 10.195804343585905",Aarhus,Vejlby Ringvej 20,8200,"56.18324423193787, 10.200790644180302",498,62,29,MAJOR_ROAD
trafficData185025.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Vejlby Ringvej 20,8200,"56.1833360361296, 10.200700790178303",Aarhus,Randersvej 164,8200,"56.18028339302693, 10.198778699405693",509,57,32,MAJOR_ROAD
trafficData185051.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Randersvej 164,8200,"56.1803125039424, 10.19893292642405",Aarhus,Vejlby Ringvej 20,8200,"56.18324423193787, 10.200790644180302",473,64,27,MAJOR_ROAD
